Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time
800000-threshold-255;43.18;0.80;44.73;0.80;41.22;0.80;;;;0.146;2621;2;22.866;;;0.001;139;0;17.62;
idle;39.17;0.80;40.36;0.80;37.87;0.80;;;;0.207;3645;2;8.297;;;0.001;135;0;20.02;
800000-threshold-0;42.72;0.80;43.72;0.80;41.19;0.80;;;;0.179;4650;2;20.842;;;0.002;706;0;23.20;
idle;39.00;0.80;39.85;0.80;37.90;0.80;;;;0.155;3663;2;7.991;;;0.001;118;0;20.02;
800000-threshold-5;42.85;0.80;43.66;0.80;41.07;0.80;;;;0.160;4624;2;21.878;;;0.002;516;0;22.28;
idle;39.22;0.80;41.22;0.80;37.60;0.80;;;;0.175;3553;2;8.230;;;0.001;97;0;20.02;
800000-threshold-10;42.92;0.80;43.94;0.80;41.44;0.80;;;;0.176;4379;2;22.039;;;0.002;712;0;23.27;
idle;39.18;0.80;40.62;0.80;37.70;0.80;;;;0.178;3929;2;8.005;;;0.001;122;0;20.02;
800000-threshold-15;42.93;0.80;43.90;0.80;41.19;0.80;;;;0.171;4242;2;21.914;;;0.001;408;0;22.73;
idle;39.23;0.80;40.29;0.80;38.03;0.80;;;;0.220;4074;2;8.281;;;0.001;196;0;20.02;
800000-threshold-20;42.96;0.80;43.84;0.80;41.57;0.80;;;;0.160;3683;2;21.887;;;0.001;157;0;22.29;
idle;39.75;0.80;42.48;0.80;37.47;0.80;;;;0.182;3806;2;8.858;;;0.001;112;0;20.01;
800000-threshold-25;42.86;0.80;43.60;0.80;41.18;0.80;;;;0.163;4376;2;21.643;;;0.002;567;0;23.63;
idle;39.24;0.80;40.51;0.80;38.25;0.80;;;;0.221;3916;2;8.177;;;0.001;120;0;20.02;
800000-threshold-30;42.92;0.80;44.02;0.80;41.36;0.80;;;;0.185;4801;2;22.010;;;0.002;634;0;22.46;
idle;39.24;0.80;40.45;0.80;37.76;0.80;;;;0.217;3922;2;8.154;;;0.001;126;0;20.02;
800000-threshold-35;42.77;0.80;43.66;0.80;41.13;0.80;;;;0.160;3798;2;21.166;;;0.001;612;0;23.08;
idle;39.41;0.80;43.00;0.80;38.14;0.80;;;;0.200;3737;2;8.349;;;0.001;110;0;20.02;
800000-threshold-40;42.91;0.80;43.92;0.80;41.16;0.80;;;;0.197;4236;2;21.607;;;0.001;207;0;23.05;
idle;39.19;0.80;41.36;0.80;38.13;0.80;;;;0.163;3914;2;8.135;;;0.001;114;0;20.01;
800000-threshold-45;42.87;0.80;44.11;0.80;41.43;0.80;;;;0.125;4373;2;21.209;;;0.002;708;0;23.01;
idle;39.23;0.80;40.93;0.80;37.55;0.80;;;;0.193;3871;2;8.133;;;0.001;113;0;20.02;
800000-threshold-50;43.06;0.80;44.17;0.80;41.54;0.80;;;;0.158;4198;2;22.239;;;0.001;126;0;22.45;
idle;39.26;0.80;40.41;0.80;38.07;0.80;;;;0.194;3992;2;8.380;;;0.001;142;0;20.02;
800000-threshold-55;42.95;0.80;43.82;0.80;41.25;0.80;;;;0.179;4801;2;21.666;;;0.002;929;0;22.87;
idle;39.30;0.80;40.50;0.80;38.06;0.80;;;;0.175;4100;2;8.348;;;0.000;98;0;20.00;
800000-threshold-60;42.99;0.80;43.84;0.80;41.17;0.80;;;;0.150;3211;2;21.422;;;0.001;180;0;22.86;
idle;39.11;0.80;40.93;0.80;37.84;0.80;;;;0.197;3862;2;8.159;;;0.001;123;0;20.02;
800000-threshold-65;42.96;0.80;44.35;0.80;41.59;0.80;;;;0.176;4304;2;21.980;;;0.001;542;0;23.24;
idle;39.24;0.80;40.59;0.80;37.93;0.80;;;;0.217;4164;2;8.252;;;0.001;100;0;20.02;
800000-threshold-70;42.88;0.80;44.30;0.80;41.41;0.80;;;;0.210;4937;2;21.714;;;0.001;523;0;23.08;
idle;39.15;0.80;40.40;0.80;37.83;0.80;;;;0.215;4092;2;8.441;;;0.001;116;0;20.00;
800000-threshold-75;42.88;0.80;43.81;0.80;40.99;0.80;;;;0.174;4369;2;21.765;;;0.001;465;0;22.66;
idle;39.15;0.80;40.02;0.80;37.92;0.80;;;;0.164;3816;2;8.042;;;0.001;118;0;20.02;
800000-threshold-80;42.78;0.80;43.49;0.80;41.45;0.80;;;;0.142;3201;2;21.714;;;0.001;185;0;23.34;
idle;39.17;0.80;40.44;0.80;38.23;0.80;;;;0.188;3682;2;8.206;;;0.001;125;0;20.02;
800000-threshold-85;42.78;0.80;43.66;0.80;41.15;0.80;;;;0.134;3297;2;21.450;;;0.001;218;0;22.57;
idle;39.18;0.80;40.44;0.80;38.05;0.80;;;;0.241;4262;2;8.283;;;0.001;166;0;20.02;
800000-threshold-90;42.92;0.80;44.26;0.80;41.40;0.80;;;;0.169;3815;2;21.988;;;0.001;165;0;22.74;
idle;39.06;0.80;42.99;0.80;37.44;0.80;;;;0.202;4055;2;8.405;;;0.001;121;0;20.02;
800000-threshold-95;42.81;0.80;43.76;0.80;41.34;0.80;;;;0.144;5029;2;21.700;;;0.002;507;0;22.51;
idle;39.22;0.80;40.92;0.80;37.38;0.80;;;;0.254;4397;2;8.371;;;0.001;123;0;20.02;
800000-threshold-100;42.71;0.80;43.35;0.80;40.99;0.80;;;;0.170;3324;2;21.217;;;0.001;165;0;22.88;
idle;39.12;0.80;40.67;0.80;37.75;0.80;;;;0.167;4008;2;8.397;;;0.001;103;0;20.01;
800000-threshold-105;43.01;0.80;44.35;0.80;41.42;0.80;;;;0.156;4439;2;22.306;;;0.001;176;0;22.45;
idle;39.16;0.80;41.12;0.80;38.11;0.80;;;;0.180;3622;2;8.452;;;0.001;116;0;20.02;
800000-threshold-110;42.79;0.80;43.72;0.80;41.25;0.80;;;;0.136;3222;2;21.280;;;0.001;141;0;23.27;
idle;39.29;0.80;40.38;0.80;38.08;0.80;;;;0.177;4092;2;8.294;;;0.001;114;0;20.01;
800000-threshold-115;42.92;0.80;43.74;0.80;41.62;0.80;;;;0.148;3837;2;21.479;;;0.002;605;0;22.77;
idle;39.30;0.80;40.97;0.80;37.95;0.80;;;;0.205;4015;2;8.310;;;0.001;107;0;20.02;
800000-threshold-120;42.91;0.80;44.20;0.80;41.46;0.80;;;;0.145;4252;2;22.165;;;0.002;703;0;22.52;
idle;39.27;0.80;40.16;0.80;38.25;0.80;;;;0.202;3759;2;8.023;;;0.001;98;0;20.02;
800000-threshold-125;42.84;0.80;44.08;0.80;41.05;0.80;;;;0.201;4336;2;21.781;;;0.001;214;0;22.43;
idle;39.37;0.80;40.53;0.80;38.21;0.80;;;;0.219;4221;2;8.321;;;0.001;111;0;20.01;
800000-threshold-130;42.99;0.80;44.54;0.80;40.79;0.80;;;;0.170;4229;2;21.798;;;0.001;197;0;22.22;
idle;39.37;0.80;40.71;0.80;37.94;0.80;;;;0.206;4097;2;8.577;;;0.001;116;0;20.02;
800000-threshold-135;43.03;0.80;44.27;0.80;41.50;0.80;;;;0.155;4099;2;22.253;;;0.002;586;0;22.12;
idle;39.31;0.80;40.13;0.80;37.76;0.80;;;;0.197;4061;2;8.069;;;0.001;112;0;20.02;
800000-threshold-140;43.05;0.80;44.04;0.80;41.13;0.80;;;;0.160;4463;2;22.247;;;0.002;452;0;21.69;
idle;39.41;0.80;40.82;0.80;38.20;0.80;;;;0.184;4003;2;8.582;;;0.001;147;0;20.02;
800000-threshold-145;42.94;0.80;43.86;0.80;40.93;0.80;;;;0.136;3834;2;21.328;;;0.001;608;0;22.36;
idle;39.13;0.80;40.97;0.80;37.82;0.80;;;;0.159;3599;2;8.189;;;0.000;86;0;20.01;
800000-threshold-150;42.97;0.80;43.93;0.80;41.24;0.80;;;;0.153;2988;2;21.869;;;0.001;131;0;21.81;
idle;39.23;0.80;40.90;0.80;37.98;0.80;;;;0.197;3842;2;8.073;;;0.001;109;0;20.02;
800000-threshold-155;42.91;0.80;43.87;0.80;41.36;0.80;;;;0.183;4083;2;22.058;;;0.002;607;0;21.08;
idle;39.24;0.80;41.87;0.80;37.86;0.80;;;;0.178;3737;2;8.174;;;0.001;96;0;20.01;
800000-threshold-160;42.79;0.80;43.72;0.80;41.52;0.80;;;;0.185;3564;2;21.361;;;0.001;185;0;21.59;
idle;39.55;0.80;43.16;0.80;38.48;0.80;;;;0.201;3636;2;8.741;;;0.001;96;0;20.02;
800000-threshold-165;42.98;0.80;43.85;0.80;41.55;0.80;;;;0.177;4228;2;21.978;;;0.002;578;0;20.72;
idle;40.14;0.80;42.33;0.80;37.72;0.80;;;;0.173;3782;2;11.465;;;0.001;104;0;20.02;
800000-threshold-170;42.93;0.80;43.91;0.80;40.95;0.80;;;;0.193;3880;2;22.385;;;0.002;529;0;20.48;
idle;39.04;0.80;40.39;0.80;37.49;0.80;;;;0.222;3787;2;7.928;;;0.001;117;0;20.02;
800000-threshold-175;42.87;0.80;44.24;0.80;41.04;0.80;;;;0.164;3438;2;21.835;;;0.001;207;0;20.67;
idle;39.47;0.80;42.22;0.80;37.68;0.80;;;;0.193;4105;2;8.557;;;0.001;116;0;20.02;
800000-threshold-180;42.87;0.80;43.81;0.80;41.25;0.80;;;;0.150;3209;2;21.729;;;0.001;136;0;20.07;
idle;39.21;0.80;40.44;0.80;37.82;0.80;;;;0.210;4144;2;8.365;;;0.001;149;0;20.02;
800000-threshold-185;42.91;0.80;43.84;0.80;41.07;0.80;;;;0.146;2730;2;21.611;;;0.001;116;0;20.50;
idle;39.13;0.80;41.11;0.80;37.96;0.80;;;;0.157;3465;2;8.104;;;0.001;101;0;20.02;
800000-threshold-190;43.14;0.80;44.03;0.80;41.32;0.80;;;;0.171;2842;2;22.157;;;0.001;211;0;19.49;
idle;39.62;0.80;43.19;0.80;37.96;0.80;;;;0.196;3460;2;8.720;;;0.001;99;0;20.02;
800000-threshold-195;43.39;0.80;44.59;0.80;41.65;0.80;;;;0.179;4056;2;22.866;;;0.002;688;0;18.34;
idle;39.20;0.80;40.37;0.80;37.93;0.80;;;;0.194;3694;2;8.032;;;0.001;135;0;20.02;
800000-threshold-200;43.17;0.80;44.59;0.80;41.07;0.80;;;;0.165;3250;2;22.750;;;0.002;592;0;17.77;
idle;39.29;0.80;40.42;0.80;38.27;0.80;;;;0.158;3861;2;8.161;;;0.001;104;0;20.02;
800000-threshold-205;43.14;0.80;44.14;0.80;41.33;0.80;;;;0.165;3829;2;22.673;;;0.002;497;0;17.66;
idle;39.38;0.80;42.47;0.80;38.04;0.80;;;;0.214;3612;2;8.459;;;0.001;126;0;20.02;
800000-threshold-210;43.25;0.80;44.09;0.80;41.67;0.80;;;;0.165;2975;2;22.373;;;0.001;121;0;18.24;
idle;39.29;0.80;40.76;0.80;37.48;0.80;;;;0.183;3581;2;8.119;;;0.001;100;0;20.02;
800000-threshold-215;42.92;0.80;43.66;0.80;41.03;0.80;;;;0.140;2357;2;22.070;;;0.001;170;0;17.76;
idle;39.33;0.80;41.66;0.80;37.72;0.80;;;;0.198;3708;2;8.146;;;0.001;113;0;20.02;
800000-threshold-220;43.34;0.80;44.16;0.80;41.21;0.80;;;;0.151;3572;2;22.622;;;0.003;703;0;17.61;
idle;39.14;0.80;40.03;0.80;37.52;0.80;;;;0.174;3654;2;7.940;;;0.001;164;0;20.02;
800000-threshold-225;43.41;0.80;44.35;0.80;42.14;0.80;;;;0.155;3675;2;23.669;;;0.002;733;0;17.27;
idle;39.32;0.80;41.77;0.80;38.23;0.80;;;;0.190;4151;2;8.255;;;0.001;104;0;20.02;
800000-threshold-230;43.15;0.80;44.04;0.80;41.37;0.80;;;;0.182;3962;2;22.235;;;0.002;544;0;17.60;
idle;39.28;0.80;40.93;0.80;38.35;0.80;;;;0.239;3983;2;8.303;;;0.001;122;0;20.02;
800000-threshold-235;43.47;0.80;44.92;0.80;41.02;0.80;;;;0.184;3386;2;23.215;;;0.001;143;0;17.33;
idle;39.30;0.80;41.11;0.80;37.92;0.80;;;;0.213;3707;2;8.244;;;0.001;250;0;20.02;
800000-threshold-240;43.21;0.80;44.24;0.80;41.27;0.80;;;;0.165;3013;2;22.627;;;0.001;220;0;18.22;
idle;39.16;0.80;40.60;0.80;37.82;0.80;;;;0.180;3496;2;7.987;;;0.001;128;0;20.01;
800000-threshold-245;43.17;0.80;43.93;0.80;41.22;0.80;;;;0.141;2446;2;21.974;;;0.001;172;0;17.81;
idle;39.17;0.80;40.47;0.80;38.19;0.80;;;;0.207;4366;2;8.027;;;0.001;173;0;21.02;
800000-threshold-250;43.27;0.80;44.52;0.80;41.28;0.80;;;;0.184;3895;2;22.643;;;0.002;754;0;17.05;
idle;39.37;0.80;41.00;0.80;37.51;0.80;;;;0.217;4436;2;8.481;;;0.001;189;0;20.02;
800000-threshold-255;43.30;0.80;44.10;0.80;41.54;0.80;;;;0.158;3221;2;22.378;;;0.002;626;0;17.95;
idle;39.06;0.80;39.98;0.80;38.40;0.80;;;;0.230;3913;2;7.911;;;0.001;138;0;20.02;
800000-threshold-0;42.67;0.80;43.67;0.80;41.21;0.80;;;;0.153;4461;2;20.793;;;0.002;765;0;23.92;
idle;39.18;0.80;40.62;0.80;37.47;0.80;;;;0.207;4026;2;8.290;;;0.001;130;0;20.02;
800000-threshold-5;42.68;0.80;43.89;0.80;41.16;0.80;;;;0.146;3928;2;21.325;;;0.002;620;0;23.09;
idle;38.84;0.80;40.89;0.80;37.77;0.80;;;;0.192;3945;2;8.037;;;0.001;127;0;20.02;
800000-threshold-10;43.08;0.80;47.28;0.80;40.93;0.80;;;;0.178;4492;2;21.340;;;0.002;599;0;24.28;
idle;39.13;0.80;40.49;0.80;37.68;0.80;;;;0.167;3741;2;8.357;;;0.001;116;0;20.01;
800000-threshold-15;42.97;0.80;44.09;0.80;41.33;0.80;;;;0.126;3789;2;21.425;;;0.002;729;0;22.94;
idle;39.13;0.80;40.41;0.80;37.21;0.80;;;;0.164;3681;2;8.054;;;0.001;105;0;20.02;
800000-threshold-20;42.81;0.80;44.23;0.80;41.44;0.80;;;;0.196;4497;2;22.189;;;0.002;706;0;22.43;
idle;39.06;0.80;42.15;0.80;37.39;0.80;;;;0.187;3513;2;8.348;;;0.001;116;0;20.02;
800000-threshold-25;42.99;0.80;43.88;0.80;41.19;0.80;;;;0.187;4161;2;21.751;;;0.001;321;0;22.69;
idle;39.37;0.80;41.25;0.80;37.78;0.80;;;;0.187;3934;2;8.704;;;0.001;124;0;20.02;
800000-threshold-30;42.71;0.80;43.72;0.80;40.82;0.80;;;;0.165;3886;2;21.076;;;0.002;755;0;23.12;
idle;39.14;0.80;40.20;0.80;37.89;0.80;;;;0.184;3950;2;7.987;;;0.001;130;0;20.01;
800000-threshold-35;42.81;0.80;43.78;0.80;41.51;0.80;;;;0.167;4729;2;21.620;;;0.002;706;0;23.37;
idle;39.57;0.80;41.99;0.80;38.16;0.80;;;;0.202;4443;2;8.715;;;0.001;147;0;20.02;
800000-threshold-40;42.92;0.80;44.17;0.80;41.05;0.80;;;;0.148;4164;2;21.447;;;0.002;791;0;22.83;
idle;39.32;0.80;40.84;0.80;38.20;0.80;;;;0.194;3518;2;8.161;;;0.001;97;0;20.02;
800000-threshold-45;43.07;0.80;43.89;0.80;41.31;0.80;;;;0.159;3612;2;21.969;;;0.001;169;0;22.84;
idle;39.37;0.80;40.48;0.80;38.73;0.80;;;;0.206;3829;2;8.239;;;0.001;144;0;20.02;
800000-threshold-50;42.99;0.80;43.84;0.80;41.22;0.80;;;;0.158;4712;2;22.353;;;0.001;491;0;22.60;
idle;39.24;0.80;40.27;0.80;38.30;0.80;;;;0.178;4343;2;8.086;;;0.001;124;0;20.02;
800000-threshold-55;43.09;0.80;44.05;0.80;41.33;0.80;;;;0.150;3975;2;22.086;;;0.001;171;0;23.04;
idle;39.32;0.80;40.94;0.80;38.17;0.80;;;;0.203;4150;2;8.134;;;0.001;386;0;20.01;
800000-threshold-60;42.83;0.80;43.63;0.80;41.06;0.80;;;;0.170;3891;2;21.250;;;0.002;704;0;23.20;
idle;39.19;0.80;41.20;0.80;37.82;0.80;;;;0.196;4242;2;8.112;;;0.001;112;0;20.02;
800000-threshold-65;42.82;0.80;43.62;0.80;41.07;0.80;;;;0.163;4128;2;21.456;;;0.002;711;0;23.73;
idle;39.30;0.80;40.53;0.80;37.62;0.80;;;;0.184;4010;2;8.235;;;0.001;127;0;20.02;
800000-threshold-70;42.96;0.80;43.69;0.80;41.42;0.80;;;;0.165;4435;2;21.529;;;0.002;617;0;23.19;
idle;39.24;0.80;41.16;0.80;37.77;0.80;;;;0.195;3435;2;8.234;;;0.001;98;0;20.02;
800000-threshold-75;42.84;0.80;43.64;0.80;41.18;0.80;;;;0.158;3946;2;21.618;;;0.002;679;0;22.55;
idle;39.29;0.80;40.70;0.80;37.89;0.80;;;;0.214;3804;2;8.014;;;0.001;126;0;20.01;
800000-threshold-80;43.00;0.80;44.25;0.80;41.43;0.80;;;;0.138;3501;2;22.088;;;0.001;141;0;22.72;
idle;39.71;0.80;44.12;0.80;38.56;0.80;;;;0.181;4096;2;9.119;;;0.001;146;0;20.02;
800000-threshold-85;42.98;0.80;43.86;0.80;41.50;0.80;;;;0.184;4365;2;21.851;;;0.002;737;0;22.67;
idle;39.22;0.80;40.96;0.80;37.65;0.80;;;;0.182;3407;2;8.329;;;0.001;266;0;20.01;
800000-threshold-90;42.93;0.80;44.16;0.80;41.19;0.80;;;;0.161;3494;2;21.801;;;0.001;163;0;22.94;
idle;39.55;0.80;45.96;0.80;37.83;0.80;;;;0.161;3782;2;8.787;;;0.001;113;0;20.02;
800000-threshold-95;43.00;0.80;43.91;0.80;41.18;0.80;;;;0.159;3992;2;21.695;;;0.001;512;0;23.00;
idle;39.23;0.80;40.92;0.80;37.79;0.80;;;;0.211;4028;2;8.186;;;0.001;99;0;20.01;
800000-threshold-100;42.84;0.80;43.88;0.80;41.53;0.80;;;;0.151;4486;2;21.199;;;0.002;1003;0;23.28;
idle;39.30;0.80;40.08;0.80;38.09;0.80;;;;0.168;3672;2;8.362;;;0.001;108;0;20.02;
800000-threshold-105;42.97;0.80;43.81;0.80;41.33;0.80;;;;0.200;3328;2;21.191;;;0.001;146;0;23.05;
idle;39.29;0.80;43.61;0.80;37.77;0.80;;;;0.215;4155;2;8.503;;;0.000;91;0;20.01;
800000-threshold-110;42.86;0.80;43.63;0.80;41.23;0.80;;;;0.192;4936;2;21.836;;;0.002;605;0;22.71;
idle;39.14;0.80;40.28;0.80;37.81;0.80;;;;0.227;4022;2;8.196;;;0.001;117;0;20.01;
800000-threshold-115;43.11;0.80;44.84;0.80;41.34;0.80;;;;0.170;4008;2;22.364;;;0.001;225;0;25.48;
idle;39.24;0.80;40.20;0.80;38.48;0.80;;;;0.180;4187;2;8.302;;;0.001;127;0;20.02;
800000-threshold-120;43.02;0.80;44.18;0.80;40.89;0.80;;;;0.161;4493;2;21.846;;;0.002;597;0;23.00;
idle;39.34;0.80;41.98;0.80;37.41;0.80;;;;0.209;4237;2;8.437;;;0.001;96;0;20.02;
800000-threshold-125;42.66;0.80;43.42;0.80;41.10;0.80;;;;0.158;3706;2;21.059;;;0.002;641;0;23.18;
idle;39.26;0.80;40.53;0.80;38.02;0.80;;;;0.203;3979;2;8.099;;;0.001;142;0;20.02;
800000-threshold-130;43.13;0.80;46.68;0.80;41.44;0.80;;;;0.165;3358;2;22.200;;;0.001;126;0;22.24;
idle;39.28;0.80;40.26;0.80;38.47;0.80;;;;0.266;4077;2;7.950;;;0.001;109;0;20.01;
800000-threshold-135;42.85;0.80;43.61;0.80;41.26;0.80;;;;0.162;3863;2;21.237;;;0.002;774;0;22.49;
idle;39.46;0.80;41.02;0.80;38.39;0.80;;;;0.180;3552;2;8.403;;;0.001;112;0;20.02;
800000-threshold-140;42.94;0.80;43.53;0.80;41.42;0.80;;;;0.193;3387;2;21.453;;;0.001;165;0;22.86;
idle;39.24;0.80;40.31;0.80;37.79;0.80;;;;0.218;4084;2;8.026;;;0.001;118;0;20.02;
800000-threshold-145;43.23;0.80;44.24;0.80;41.42;0.80;;;;0.146;4025;2;22.384;;;0.002;652;0;21.70;
idle;39.24;0.80;41.16;0.80;37.03;0.80;;;;0.177;3762;2;8.308;;;0.001;94;0;20.02;
800000-threshold-150;42.84;0.80;43.65;0.80;41.10;0.80;;;;0.154;4088;2;21.422;;;0.002;740;0;22.10;
idle;38.93;0.80;40.49;0.80;37.27;0.80;;;;0.174;3621;2;8.062;;;0.001;92;0;20.02;
800000-threshold-155;43.09;0.80;44.31;0.80;41.04;0.80;;;;0.154;4142;2;22.468;;;0.002;712;0;21.30;
idle;39.08;0.80;42.05;0.80;37.03;0.80;;;;0.150;3792;2;8.686;;;0.001;156;0;20.01;
800000-threshold-160;43.12;0.80;44.05;0.80;41.38;0.80;;;;0.142;2971;2;22.320;;;0.001;135;0;20.37;
idle;39.06;0.80;40.36;0.80;37.76;0.80;;;;0.170;3539;2;8.258;;;0.001;103;0;20.02;
800000-threshold-165;43.13;0.80;44.28;0.80;41.24;0.80;;;;0.142;4256;2;22.281;;;0.002;635;0;20.44;
idle;38.88;0.80;40.03;0.80;37.51;0.80;;;;0.214;3572;2;8.055;;;0.001;106;0;20.01;
800000-threshold-170;42.91;0.80;44.10;0.80;41.05;0.80;;;;0.156;4131;2;21.522;;;0.002;519;0;21.30;
idle;39.19;0.80;42.28;0.80;37.97;0.80;;;;0.161;4129;2;8.560;;;0.001;110;0;20.02;
800000-threshold-175;43.04;0.80;44.09;0.80;41.14;0.80;;;;0.172;3096;2;22.058;;;0.001;167;0;20.42;
idle;39.09;0.80;40.68;0.80;38.42;0.80;;;;0.214;3847;2;8.137;;;0.001;129;0;20.02;
800000-threshold-180;43.00;0.80;43.98;0.80;41.52;0.80;;;;0.179;4065;2;22.198;;;0.002;684;0;20.20;
idle;39.21;0.80;41.02;0.80;37.46;0.80;;;;0.214;3847;2;8.321;;;0.001;119;0;20.02;
800000-threshold-185;43.15;0.80;44.37;0.80;41.12;0.80;;;;0.144;3205;2;22.625;;;0.001;204;0;18.91;
idle;39.38;0.80;43.36;0.80;37.84;0.80;;;;0.185;3871;2;8.624;;;0.001;111;0;20.02;
800000-threshold-190;43.03;0.80;44.00;0.80;41.26;0.80;;;;0.137;3293;2;21.821;;;0.002;660;0;19.77;
idle;39.17;0.80;40.47;0.80;37.89;0.80;;;;0.176;3935;2;8.082;;;0.001;118;0;20.02;
800000-threshold-195;43.16;0.80;44.19;0.80;40.98;0.80;;;;0.185;3281;2;22.523;;;0.001;135;0;18.61;
idle;39.34;0.80;41.40;0.80;37.91;0.80;;;;0.232;4160;2;8.285;;;0.001;111;0;20.02;
800000-threshold-200;43.20;0.80;44.38;0.80;41.45;0.80;;;;0.183;3946;2;22.723;;;0.003;715;0;18.34;
idle;39.41;0.80;43.82;0.80;37.64;0.80;;;;0.240;4099;2;8.771;;;0.001;170;0;20.02;
800000-threshold-205;43.21;0.80;44.24;0.80;41.46;0.80;;;;0.173;3581;2;22.646;;;0.002;610;0;17.39;
idle;39.26;0.80;40.73;0.80;37.35;0.80;;;;0.187;3921;2;8.387;;;0.001;113;0;20.02;
800000-threshold-210;43.24;0.80;44.32;0.80;41.51;0.80;;;;0.216;4218;2;22.803;;;0.002;623;0;17.29;
idle;39.21;0.80;40.08;0.80;37.66;0.80;;;;0.191;4236;2;8.078;;;0.001;165;0;20.02;
800000-threshold-215;43.27;0.80;44.35;0.80;41.08;0.80;;;;0.112;2498;2;22.737;;;0.001;103;0;17.58;
idle;39.02;0.80;40.24;0.80;37.47;0.80;;;;0.235;4074;2;8.153;;;0.001;107;0;20.02;
800000-threshold-220;43.33;0.80;44.49;0.80;40.94;0.80;;;;0.170;3348;2;22.959;;;0.003;785;0;17.08;
idle;39.46;0.80;41.87;0.80;38.41;0.80;;;;0.177;4337;2;8.529;;;0.001;109;0;20.02;
800000-threshold-225;43.55;0.80;45.02;0.80;41.08;0.80;;;;0.135;3628;2;23.078;;;0.002;813;0;17.05;
idle;39.22;0.80;41.91;0.80;37.81;0.80;;;;0.215;3712;2;8.337;;;0.001;101;0;20.02;
800000-threshold-230;43.03;0.80;44.13;0.80;41.23;0.80;;;;0.131;2467;2;21.978;;;0.001;192;0;18.22;
idle;39.24;0.80;40.53;0.80;38.26;0.80;;;;0.195;4100;2;8.402;;;0.001;139;0;20.02;
800000-threshold-235;43.39;0.80;44.58;0.80;41.26;0.80;;;;0.176;2736;2;23.343;;;0.001;113;0;17.10;
idle;39.22;0.80;40.14;0.80;38.61;0.80;;;;0.217;4006;2;8.136;;;0.001;133;0;20.02;
800000-threshold-240;43.04;0.80;43.73;0.80;41.29;0.80;;;;0.131;2633;2;21.906;;;0.002;516;0;17.83;
idle;39.20;0.80;41.09;0.80;37.98;0.80;;;;0.159;4020;2;8.299;;;0.001;92;0;20.02;
800000-threshold-245;43.11;0.80;44.32;0.80;41.27;0.80;;;;0.146;3269;2;22.372;;;0.003;669;0;17.33;
idle;39.40;0.80;40.76;0.80;37.81;0.80;;;;0.173;3738;2;8.441;;;0.001;103;0;20.01;
800000-threshold-250;43.12;0.80;44.39;0.80;41.19;0.80;;;;0.178;3316;2;22.048;;;0.002;585;0;18.30;
idle;39.20;0.80;40.56;0.80;38.07;0.80;;;;0.194;3515;2;8.023;;;0.001;112;0;20.02;
800000-threshold-255;43.16;0.80;44.64;0.80;41.26;0.80;;;;0.175;3179;2;22.265;;;0.002;648;0;17.93;
idle;39.38;0.80;41.02;0.80;37.01;0.80;;;;0.159;3477;2;8.301;;;0.001;86;0;20.02;
800000-threshold-0;42.79;0.80;43.70;0.80;41.42;0.80;;;;0.167;4451;2;20.785;;;0.001;513;0;23.24;
idle;39.43;0.80;40.69;0.80;37.52;0.80;;;;0.191;3618;2;8.438;;;0.001;124;0;20.02;
800000-threshold-5;42.89;0.80;44.12;0.80;41.03;0.80;;;;0.176;4085;2;21.658;;;0.002;828;0;23.46;
idle;39.11;0.80;40.37;0.80;37.77;0.80;;;;0.215;3712;2;7.982;;;0.001;84;0;20.02;
800000-threshold-10;42.77;0.80;43.56;0.80;41.11;0.80;;;;0.149;3977;2;21.465;;;0.002;676;0;23.16;
idle;39.02;0.80;39.69;0.80;37.84;0.80;;;;0.227;3829;2;7.958;;;0.001;114;0;20.02;
800000-threshold-15;42.83;0.80;43.44;0.80;41.66;0.80;;;;0.145;3336;2;21.491;;;0.001;441;0;22.74;
idle;39.35;0.80;41.75;0.80;37.61;0.80;;;;0.227;4447;2;8.443;;;0.001;122;0;20.02;
800000-threshold-20;42.83;0.80;43.74;0.80;41.36;0.80;;;;0.152;4130;2;21.257;;;0.002;568;0;23.18;
idle;39.08;0.80;40.02;0.80;37.84;0.80;;;;0.164;3708;2;8.146;;;0.001;219;0;20.01;
800000-threshold-25;42.99;0.80;44.13;0.80;41.39;0.80;;;;0.170;4699;2;21.995;;;0.002;486;0;22.70;
idle;39.15;0.80;40.20;0.80;38.30;0.80;;;;0.181;4300;2;8.002;;;0.001;163;0;20.02;
800000-threshold-30;42.88;0.80;43.87;0.80;41.19;0.80;;;;0.167;4995;2;21.860;;;0.002;686;0;22.56;
idle;39.64;0.80;42.32;0.80;37.87;0.80;;;;0.196;3880;2;8.753;;;0.001;118;0;20.02;
800000-threshold-35;43.06;0.80;43.85;0.80;40.96;0.80;;;;0.142;4223;2;21.680;;;0.001;426;0;22.99;
idle;39.11;0.80;40.11;0.80;38.15;0.80;;;;0.218;3992;2;8.027;;;0.001;109;0;20.02;
800000-threshold-40;42.74;0.80;43.77;0.80;40.95;0.80;;;;0.183;3852;2;21.153;;;0.001;547;0;23.61;
